value,label
1,
2,Alexander Sloan
3,"Anderson, Anderson & Brown LLP"
4,Armstrongs
5,ArmstrongWatson
6,Arneil Johnston
34,Azets
7,BDO
8,Campbell Dallas
9,"Campbell, Stewart, MacLennan & Co"
10,Chiene and Tait
11,CIB Audit
12,CS Audit Services Ltd
36,Deloittes
13,Findlay and Co
14,French Duncan
15,Grant Thornton
16,Haines Watts
17,Hardie Caldwell LLP
18,Internal
19,KPMG
20,Mazars
21,MHA Henderson Loggie
22,Peer to Peer
23,PKF
24,PricewaterhouseCoopers LLP
25,Quinn Internal Audit Services
26,R A Clement Associates
27,RSM
28,Scott-Moncrieff
29,The JRW Group
30,TIAA
35,TPMJ Business Consultancy)
31,Whitelaw Wells
32,Wylie & Bisset
33,None
