value,label
,
2,BAE Pension Fund
3,Bank of Scotland
4,Dexia Public Finance Bank
5,Dunfermline
6,Dunfermline Building Society
7,Dunfermline Building Society perhaps
8,Llloyds Group
9,Lloyds Group
10,Lloyds TSB
11,NBS t/a DBS
12,Oak Tree Housing Association
13,Places for People Homes Ltd
14,Places for People Individual Support
15,Prudential
16,Prudential Assurance Society
17,Prudential Security Trust
18,Prudential Security Trustee
19,Prudential Trust
20,Prudential Trustee Company Limited
21,Prudential Trustee Company Ltd
22,Security Trust
23,The Law Debenture Trust Corp 
24,Wrigley Trustees Ltd
