value,label
,
AHF,Affordable Housing Finance
ASB,Airdrie Savings Bank
ALL,Allia
AGI,Allianz Global Investments
AIB,Allied Irish Bank
AFM,Amber Fund Management Ltd
AHL,Amber Home Loans
RSL,Another RSL
AVI,Aviva
AXA,AXA
BAC,Babson Capital
BAE,BAE pension fund
BCH,Bank of China
BOI,Bank of Ireland
NYM,Bank of New York Mellon
BOS,Bank of Scotland
TOK,Bank of Tokyo Mitsubishi
BAR,Barclays
BLR,Black Rock
BNP,BNP Paribas
BEQ,Bond Equity
BBS,Britannia Building Society
CAN,Canada Life
CCLA,CCLA
CAF,Charities Aid Foundation Bank
CB,Charity Bank Ltd
CBR,Close Brothers
CPF,Close Property Finance
CLY,Clydesdale Bank plc
COP,Co-operative Bank PLC
CSU,Credit Suisse
CMM,Crown Mortgage Management
DAN,Danske
DEU,Deutsche Bank
DMB,Dexia Municipal Bank plc
EST,Energy Savings Trust
EUI,European Investment Bank
FAD,First Abu Dhabi Bank
GBSH,GB Social Housing
GMS,Goldman Sachs
HBOS,Halifax Bank of Scotland
HBK,Handelsbanken
HLB,Helaba
HSBC,HSBC
IGN,Ignis
IGF,Inter Group Loan
INV,Investec Bank
JSC,J Smart & Co(Contractors) PLC
JPM,JPMorgan
JRL,Just Retirement Ltd
LDS,Leeds Building Society
LAG,Legal & General
LMN,Lehman Commercial Conduit Ltd
LG,Lloyds Group
LA,Local Authority
MG,M&G
MAQ,Macquarie
MLF,MetLife
MOS,Morgan Stanley
MOR,MORhomes
NAB,National Australia Bank Limited
NBS,Nationwide Building Society
NWT,NatWest
PIC,Pension Insurance Corporation
PRC,Pricoa
PRI,Private Individual
PRU,Prudential
ROT,Rothesay
RBS,Royal Bank of Scotland plc
RLA,Royal London Asset Management
SAN,Santander
SBC,Scottish Building Society
SDH,Scottish District Heating Loans
SG,Scottish Government
SH,Scottish Homes 
SWD,Scottish Widows
SCU,Scotwest Credit Union Ltd
SIS,Social Investment Scotland
SCB,Standard Chartered Bank
SLI,Standard Life Investments
SUM,Sumitomo Mitsui
SUN,Sun Life
SRE,Swiss Re Europe SA
HFC,The Housing Finance Corporation
TRI,Triodos Bank
TSB,TSB Bank plc
UNI,Unity Trust Bank
