value,label
,
875970000,Aberdeen City
875970010,Aberdeenshire
875970020,Angus
875970030,Argyll and Bute
875970040,Clackmannanshire
875970050,Dumfries and Galloway
875970060,Dundee City
875970070,East Ayrshire
875970080,East Dunbartonshire
875970090,East Lothian
875970100,East Renfrewshire
875970110,City of Edinburgh
875970120,Falkirk
875970130,Fife
875970140,Glasgow City
875970150,Highland
875970160,Inverclyde
875970170,Midlothian
875970180,Moray
875970190,Na h-Eileanan Siar
875970200,North Ayrshire
875970210,North Lanarkshire
875970220,Orkney Islands
875970230,Perth and Kinross
875970240,Renfrewshire
875970250,Scottish Borders
875970260,Shetland Islands
875970270,South Ayrshire
875970290,South Lanarkshire
875970300,Stirling
875970310,West Dunbartonshire
875970320,West Lothian
